Sums,Percent,,,,, 3x3 Grid Values,,,,
,,,,,,,,,,
"472,323",91.21%,292681,2401,177241,83521,157441,231361,137641,312481,22201
"1,234,875",98.09%,616225,36481,582169,354025,411625,469225,241081,786769,207025
"1,889,292",91.21%,1170724,9604,708964,334084,629764,925444,550564,1249924,88804
"2,359,083",91.28%,1343281,130321,885481,534361,786361,1038361,687241,1442401,229441
"3,599,427",99.19%,2319529,18769,1261129,170569,1199809,2229049,1138489,2380849,80089
"4,250,907",91.21%,2634129,21609,1595169,751689,1416969,2082249,1238769,2812329,199809
"4,939,500",98.09%,2464900,145924,2328676,1416100,1646500,1876900,964324,3147076,828100
"6,100,923",99.44%,3200521,491401,2374681,1207801,2033641,2859481,1692601,3575881,866761
"7,557,168",91.21%,4682896,38416,2835856,1336336,2519056,3701776,2202256,4999696,355216
"9,436,332",91.28%,5373124,521284,3541924,2137444,3145444,4153444,2748964,5769604,917764
"11,113,875",98.09%,5546025,328329,5239521,3186225,3704625,4223025,2169729,7080921,1863225
"11,808,075",99.96%,7317025,60025,4431025,1054729,3936025,6817321,3441025,7812025,555025
"14,397,708",99.19%,9278116,75076,5044516,682276,4799236,8916196,4553956,9523396,320356
"17,003,628",91.21%,10536516,86436,6380676,3006756,5667876,8328996,4955076,11249316,799236
"19,758,000",98.09%,9859600,583696,9314704,5664400,6586000,7507600,3857296,12588304,3312400
"21,231,747",91.28%,12089529,1172889,7969329,4809249,7077249,9345249,6185169,12981609,2064969
"23,143,827",91.21%,14341369,117649,8684809,4092529,7714609,11336689,6744409,15311569,1087849
"24,403,692",99.44%,12802084,1965604,9498724,4831204,8134564,11437924,6770404,14303524,3467044
"30,228,672",91.21%,18731584,153664,11343424,5345344,10076224,14807104,8809024,19998784,1420864
"30,871,875",98.82%,15405625,912025,14554225,9803161,10290625,10778089,6027025,19669225,5175625
"32,394,843",99.19%,20875761,168921,11350161,1535121,10798281,20061441,10246401,21427641,720801
"36,414,867",96.97%,22877089,237169,13300609,1456849,12138289,22819729,10975969,24039409,1399489
"37,745,328",91.28%,21492496,2085136,14167696,8549776,12581776,16613776,10995856,23078416,3671056
"38,258,163",91.21%,23707161,194481,14356521,6765201,12752721,18740241,11148921,25310961,1798281
"44,455,500",98.09%,22184100,1313316,20958084,12744900,14818500,16892100,8678916,28323684,7452900
"47,232,300",99.96%,29268100,240100,17724100,4218916,15744100,27269284,13764100,31248100,2220100
"54,908,307",99.44%,28804689,4422609,21372129,10870209,18302769,25735329,15233409,32182929,7800849
"57,151,083",91.21%,35414401,290521,21446161,10106041,19050361,27994681,16654561,37810201,2686321
"57,590,832",99.19%,37112464,300304,20178064,2729104,19196944,35664784,18215824,38093584,1281424
"58,977,075",99.09%,36060025,243049,22137025,5736025,19659025,33582025,17181025,39075001,3258025
"59,860,947",84.25%,38725729,2809,21132409,11785489,19953649,28121809,18774889,39904489,1181569
